2.096927,-0.759591,1.160481
1.749650,0.435972,0.220550
1.636560,0.657007,0.193205
1.466982,1.523341,-0.771716
2.086006,0.591542,0.312602
1.854010,0.436223,0.328689
2.020361,0.693191,-0.053402
2.404917,-0.508728,0.869935
2.100089,0.124969,0.346202
1.785010,1.079239,-0.436889
1.939074,0.859197,-0.149287
2.216874,1.209277,-0.608515
2.474320,1.067577,-0.509173
2.669916,-0.133512,0.532958
2.979328,-0.955332,1.309369
2.659088,-0.091476,0.519241
2.508721,-0.019003,0.470550
2.590632,0.810852,-0.252625
2.738869,0.837399,-0.317765
3.042026,0.467953,0.008240
3.172163,-0.595585,0.979535
3.758909,-2.096576,2.510640
3.655377,-1.954749,2.365617
3.388227,-1.467308,1.881639
3.413100,-1.234894,1.636148
3.419403,-1.489881,1.905390
3.609621,-1.748334,2.174611
3.939072,-2.155017,2.611386
