Date,平均温度,最高温,最低温,平均降水,最高露点,平均露点,最低露点,最高湿度(%),最低湿度(%),平均相对湿度(%),最高气压,平均气压,最低气压,最高风速,平均风速,最低风速,BSI_厦门手足口病_all,BSI_厦门手足口病_pc,BSI_厦门手足口病_wise,BSI_厦门肝炎_all,BSI_厦门肝炎_pc,BSI_厦门肝炎_wise,BSI_厦门腹泻_all,BSI_厦门腹泻_pc,BSI_厦门腹泻_wise,手足口病,肝炎,其他感染性腹泻,HF1,HF2,HF3,HF4,HF5,HF6,HF7,H1,H2,H3,H4,H5,H6,H7,D1,D2,D3,D4,D5,D6,D7
2020Y26W,31.02,37.22,26.11,16.27,27.22,25.33,22.78,94,50,72.42,1008.39,1002.65,997.58,16,8.08,0,603,411,504,655,173,482,603,118,485,5,222,71,3,2,0,0,0,0,0,60,37,40,30,30,15,10,15,12,7,10,11,6,10
2020Y27W,31.26,37.22,27.22,43.99,27.78,26.03,23.89,94,50,74.01,1005.35,1001.31,998.6,16,8.33,2,584,354,487,733,289,444,584,116,468,2,139,78,1,0,0,1,0,0,0,28,39,24,8,4,6,30,8,10,9,6,8,8,29
2020Y28W,30.57,36.11,27.22,3.46,27.78,25.88,22.78,100,47,76.26,1005.35,1001.66,997.58,16,8.31,2,721,352,475,662,179,483,721,234,487,4,152,75,0,1,0,0,0,1,2,29,22,32,21,24,15,9,12,13,16,8,9,7,10
2020Y29W,30.79,37.22,27.22,9.06,27.22,25.83,23.89,89,50,74.98,1004.34,1001.3,997.58,18,9.08,2,749,234,513,812,362,450,749,293,456,4,178,69,0,0,0,1,2,1,0,29,30,23,40,28,23,5,11,14,15,10,10,4,5
2020Y30W,31.3,37.78,27.22,1.6,27.22,25.76,23.89,94,50,72.85,1004.34,1001.35,998.6,18,7.37,2,703,118,512,651,177,474,703,232,471,4,184,67,0,0,1,1,0,0,2,33,37,30,34,25,12,13,9,10,4,12,16,6,10
2020Y31W,31.29,37.22,27.22,0.43,27.22,25.64,22.78,100,50,72.33,1007.38,1003.45,999.27,16,7.04,0,707,360,492,797,353,444,707,239,468,12,182,85,1,0,2,2,1,4,2,35,29,31,26,33,13,15,8,11,14,13,19,12,8
2020Y32W,30.74,36.11,27.22,4.73,27.22,25.73,23.89,94,53,74.71,1005.35,1002.7,999.27,20,6.63,2,655,291,577,855,367,488,655,175,480,12,212,86,4,3,2,1,1,1,0,41,44,32,29,36,18,12,12,14,14,10,17,13,6
2020Y33W,30.16,36.11,26.11,215.27,27.22,25.04,22.78,94,50,74.95,1008.39,1002.84,997.58,16,6.45,0,727,120,587,659,171,488,727,238,489,8,182,82,2,1,1,1,2,0,1,43,24,32,34,31,15,3,13,17,18,10,10,8,6
2020Y34W,29.82,37.22,23.89,33.46,27.22,25.01,22.78,100,47,76.16,1010.42,1003.35,996.57,25,7.12,0,767,287,509,713,234,479,767,295,472,19,189,94,5,3,1,2,2,4,2,46,25,24,27,36,23,8,17,11,12,15,15,13,11
2020Y35W,30.57,35,26.11,1.44,27.22,25.02,22.22,94,49,72.79,1006.37,1003.8,1001.3,18,6.6,0,715,299,534,774,293,481,715,236,479,19,201,86,6,2,1,2,4,3,1,39,27,41,42,31,10,11,12,10,10,17,15,14,8
2020Y36W,29.68,36.11,26.11,2.29,27.22,25.81,23.89,100,56,79.98,1003.33,998.13,993.53,16,5.79,0,845,244,550,763,293,470,845,354,491,23,188,71,1,2,3,4,7,3,3,42,33,38,21,31,17,6,6,24,10,6,9,5,11
2020Y37W,30.21,37.22,22.22,0.29,27.78,24.3,18.89,94,49,71.37,1006.37,1001.03,996.57,18,6.26,0,578,359,580,639,175,464,578,116,462,28,209,80,2,2,2,7,8,3,4,50,36,39,31,30,14,9,9,14,13,12,16,10,6
2020Y38W,28.06,32.78,25,53.26,27.22,25.04,22.22,100,59,84.21,1009.41,1005.14,1000.29,16,5.8,0,651,360,535,714,230,484,651,173,478,71,218,75,6,8,6,9,7,15,20,40,42,30,32,44,17,13,13,13,10,12,8,8,11
2020Y39W,29.17,36.11,25,14.59,26.11,24.34,20,94,39,76.16,1010.42,1006.45,1002.31,16,6.99,0,707,363,776,610,114,496,707,232,475,97,201,62,10,9,16,17,8,20,17,34,35,29,36,46,11,10,6,9,11,7,11,10,8
2020Y40W,25.67,30,22.22,76.33,22.78,19.93,15,94,54,70.91,1010.42,1007.06,1004.34,16,8.48,0,729,372,929,706,236,470,729,230,499,122,282,51,13,13,15,23,29,15,14,48,58,30,40,41,35,30,10,13,7,6,5,5,5
2020Y41W,25.53,32.78,22.22,8.43,23.89,19.88,13.89,94,49,71.49,1009.41,1006.17,1002.31,16,6.83,0,636,305,870,566,116,450,636,171,465,191,172,53,17,14,27,23,31,28,51,50,52,37,6,8,8,11,11,5,9,9,4,9,6
2020Y42W,25.02,31.11,21.11,0.03,22.78,16.24,12.78,83,42,58.52,1013.46,1009.94,1004.34,20,12.42,2,577,376,923,644,173,471,577,116,461,245,131,71,51,41,29,41,35,21,27,4,10,10,23,45,31,8,4,8,13,9,14,12,11
2020Y43W,25.04,30,22.78,0,20,16.91,13.89,73,48,60.64,1014.47,1010.92,1005.35,18,12.03,4,794,382,732,815,352,463,794,354,440,198,189,73,42,24,19,33,31,18,31,34,33,29,35,36,13,9,12,7,6,8,27,7,6
2020Y44W,23.34,28.89,18.89,0,18.89,14.13,2.78,83,24,57.17,1014.47,1010.16,1004.34,20,12.45,2,635,449,751,627,173,454,635,171,464,168,188,69,15,10,27,44,23,19,30,39,37,31,37,25,12,7,22,8,17,4,9,2,7
2020Y45W,23.72,30,18.89,0,17.78,14.96,7.78,73,42,58.26,1016.5,1012.58,1007.38,18,10.65,0,518,399,705,697,230,467,518,57,461,172,216,67,28,15,23,45,28,20,13,39,51,37,41,17,19,12,14,8,18,9,9,3,6
2020Y46W,23.17,28.89,18.89,1.57,20,14.59,2.22,88,27,59.68,1016.5,1012.76,1007.38,20,10.34,0,565,373,654,613,173,440,565,114,451,125,259,88,24,14,10,22,22,17,16,47,44,55,43,46,16,8,5,8,8,9,42,13,3
2020Y47W,21.46,27.22,17.78,0.3,17.78,11.79,6.11,83,38,54.69,1019.2,1015.98,1012.45,22,13.89,2,576,302,691,577,118,459,576,114,462,100,226,85,22,20,3,19,16,10,10,46,46,34,32,39,19,10,8,7,7,3,47,9,4
2020Y48W,24.07,30,20,0,23.89,19.46,17.22,100,51,76.37,1016.5,1010.86,1005.35,18,6.19,0,655,435,777,646,173,473,655,171,484,143,225,79,14,15,14,24,19,30,27,32,51,31,47,45,13,6,16,26,7,6,11,7,6
2020Y49W,21.75,28.89,17.22,0.04,18.89,15.25,10,88,50,66.72,1021.23,1016.75,1012.45,20,10.84,0,717,432,806,752,291,461,717,232,485,163,193,76,29,22,25,19,23,22,23,43,32,30,28,37,17,6,15,10,19,5,16,8,3
2020Y50W,18.34,23.89,15,0,12.78,9.61,6.11,72,38,56.98,1021.23,1017.55,1013.46,22,13.46,4,616,371,616,704,236,468,616,171,445,136,216,62,9,20,12,23,31,24,17,24,40,47,30,43,20,12,8,12,12,6,9,5,10
2020Y51W,19.17,23.89,15,2.19,16.11,13.98,12.22,94,53,72.39,1018.19,1013.63,1008.39,20,8.41,0,649,236,666,682,232,450,649,175,474,129,213,78,22,18,19,20,18,15,17,34,44,37,32,48,10,8,13,11,18,14,6,7,9
2020Y52W,14.74,18.89,12.22,3.27,13.89,9.13,7.22,88,49,69.55,1022.24,1019.01,1012.45,20,11.47,2,513,234,656,610,171,439,513,59,454,131,173,71,27,13,15,21,16,17,22,35,36,19,33,28,15,7,12,9,12,10,14,5,9
2021Y01W,17.2,23.89,13.89,2.96,17.22,11.67,5,100,44,71.49,1021.23,1014.91,1009.41,18,7.9,0,674,300,654,664,238,426,674,232,442,136,188,58,32,10,12,20,26,28,8,51,33,35,22,31,11,5,10,12,8,11,7,2,8
